model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[138.162044],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-26.729411],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-111.425022],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-97.231022],[116]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-95.033333],[55]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-95.033333],[55]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-151.772422],[61]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-128.244444],[73]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-137.933333],[55]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[105.0764],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-42.874644],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-135.216567],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-98.175822],[128]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-110.055556],[84]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-110.055556],[84]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-446.918311],[241]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-110.655556],[84]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-136.055556],[84]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[149.956044],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-24.943],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-108.247889],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-117.841144],[208]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-105.966667],[86]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-105.966667],[86]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-280.266667],[112]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-280.266667],[112]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-280.266667],[112]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[140.7258],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-49.076211],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-104.296744],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-111.190044],[202]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-103.422222],[65]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-103.422222],[65]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-189.377778],[50]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-117.322222],[77]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-185.466667],[50]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[131.089644],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-25.655044],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-104.772133],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-111.635289],[158]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-101.455556],[87]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-101.455556],[87]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-213.9351],[88]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-144.755556],[87]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-212.355556],[87]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-355.98],[265]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-355.98],[265]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-355.98],[265]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-916.3532],[253]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-858.3545],[232]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-858.3545],[232]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1097.3524],[297]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1490.3345],[288]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-979.5333],[220]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-361.32],[263]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-361.32],[263]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-361.32],[263]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-822.1131],[221]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-897.0916],[246]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-897.0916],[246]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1077.3025],[240]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1063.4342],[234]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1318.103],[234]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-381.78],[282]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-381.78],[282]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-381.78],[282]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1082.9196],[300]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1045.3749],[291]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1045.3749],[291]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1006.4945],[279]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1137.7017],[222]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1861.3181],[279]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1038.6142],[290]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-859.0],[231]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-859.0],[231]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1252.3867],[274]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1161.2367],[231]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1698.7518],[302]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-765.5688],[205]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-976.685],[269]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-976.685],[269]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-988.7338],[231]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1266.76],[237]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1321.5459],[232]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1812.3846],[401]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4200.27],[412]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4211.79],[413]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-79.37],[399]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-115.44],[399]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1326.8891],[407]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2125.3],[472]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5067.13],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5056.82],[497]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-106.7],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-222.8],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1603.3213],[463]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1898.6889],[422]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5067.7],[499]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4159.47],[409]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-91.74],[473]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-123.5106],[484]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1708.9906],[492]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1962.2276],[435]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4935.48],[486]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4971.26],[490]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-90.74],[459]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-86.89],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1369.5719],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2230.0691],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5025.88],[492]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4302.14],[421]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-104.0247],[460]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-202.7421],[460]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1270.71],[424]
